name,country,gender,birth_year
C. R. Rao,India,male,1920
Abu Bakr al-Hassar,Morocco,male,
Otto Hölder,Germany,male,1859
Enrico Bompiani,Italy,male,1889
Harold Douglas Ursell,,male,1907
Mahan Mj,,male,1968
Jeffrey H. Smith,United States of America,male,1900
Judith Q. Longyear,United States of America,female,1938
Luchezar L. Avramov,United States of America,male,
Dimitrie Pompeiu,Romania,male,1873
Ron Goldman (mathematician),United States of America,male,1947
Gino Loria,Italy,male,1862
Matest M. Agrest,"Russian Empire, Soviet Union, United States of America",male,1915
Pedro Nunes,Portugal,male,1502
Jan Brinkhuis,Kingdom of the Netherlands,male,1952
Henry Helson,United States of America,male,1927
Alexander Aitken,New Zealand,male,1895
Daniel Kleitman,United States of America,male,1934
Michel Las Vergnas,France,male,1941
Nicholas Kratzer,Germany,male,1487
Sedley Cudmore,,male,1878
Carl Wilhelm Borchardt,Germany,male,1817
Cornelia Druțu,Romania,female,
Rufus Isaacs (game theorist),United States of America,male,1914
Christian Heinrich von Nagel,Germany,male,1803
Paul Vojta,United States of America,male,1957
Yves Benoist,France,male,1900
Barbara R. Holland,Australia,female,1976
Juan Gutiérrez de Gualda,Spain,male,1500
Benedict Freedman,United States of America,male,1919
Alan Herries Wilson,United Kingdom,male,1906
Henry Seely White,United States of America,male,1861
Robert C. Prim,United States of America,male,1921
Lotfi Asker Zadeh,"Azerbaijan, United States of America, Iran",male,1921
Ernst Leonard Lindelöf,"Russian Empire, Finland",male,1870
Friedrich L. Bauer,Germany,male,1924
Sankara Varman,,male,1774
Gigliola Staffilani,United States of America,female,
John B. Bell,United States of America,male,
John Conrad Jaeger,Australia,male,1907
Yoshida Mitsuyoshi,Japan,male,1598
Shuntarō Itō,Japan,male,1930
Grete Hermann,"United Kingdom, Germany",female,1901
Morris H. Hansen,United States of America,male,1910
Nicolao Colletti,,male,1701
Nicolas Minorsky,United States of America,male,1885
Heinrich Friedrich Gretschel,Germany,male,1830
Iskander Taimanov,"Soviet Union, Russia",male,1961
Pierre Louis Maupertuis,France,male,1698
Daniel Slotnick,United States of America,male,1931
Victor Flynn,,male,
Shiing-Shen Chern,"China, ""Peoples Republic of China""",male,1911
Christine Riedtmann,Switzerland,female,1952
Thomas W. Tucker,United States of America,male,1945
Franck Barthe,France,male,1900
David W. Henderson,,male,
Alexis Clairaut,France,male,1713
Bernd Sturmfels,Germany,male,1962
Alia Sabur,United States of America,female,1989
Bryan Shader,United States of America,male,
Eric van Douwen,Kingdom of the Netherlands,male,1946
Derek Frank Lawden,New Zealand,male,1919
Victor J. Katz,,male,1942
William Henry Young,United Kingdom,male,1863
Fan Chung,United States of America,female,1949
Dionys Burger,Kingdom of the Netherlands,male,1892
Jakub Kresa,Czech Republic,male,1648
Karl Heun,Germany,male,1859
